Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,30,2,0,-0.18,,,
2016,11,30,3,0,-0.65,,,
2016,11,30,4,0,-0.95,,,
2016,11,30,5,0,-1.15,,,
2016,11,30,6,0,-0.79,,,
2016,11,30,7,0,0.14,,,
2016,11,30,8,0,0.87,,,
2016,11,30,9,0,2.13,,,
2016,11,30,10,0,2.83,,,
2016,11,30,11,0,3.63,,,
2016,11,30,12,0,4.22,,,
2016,11,30,13,0,4.94,,,
2016,11,30,14,0,5.9,,,
2016,11,30,15,0,6.88,,,
2016,11,30,16,0,7.2,,,
2016,11,30,17,0,6.5,,,
2016,11,30,18,0,5.75,,,
2016,11,30,19,0,4.99,,,
2016,11,30,20,0,4.46,,,
2016,11,30,21,0,2.75,,,
2016,11,30,22,0,1.61,,,
2016,11,30,23,0,1.92,,,
2016,12,1,0,0,2,,,
2016,12,1,1,0,1.62,,,
2016,12,1,2,0,1.51,,,
2016,12,1,3,0,1.75,,,
2016,12,1,4,0,1.95,,,
2016,12,1,5,0,2.16,,,
2016,12,1,6,0,2.46,,,
2016,12,1,7,0,2.48,,,
2016,12,1,8,0,2.72,,,
2016,12,1,9,0,3.3,,,
2016,12,1,10,0,3.51,,,
2016,12,1,11,0,4.32,,,
2016,12,1,12,0,5.64,,,
2016,12,1,13,0,6.22,,,
2016,12,1,14,0,7.13,,,
2016,12,1,15,0,7.6,,,
2016,12,1,16,0,7.39,,,
2016,12,1,17,0,6.89,,,
2016,12,1,18,0,6.12,,,
2016,12,1,19,0,5.65,,,
2016,12,1,20,0,5.15,,,
2016,12,1,21,0,3.89,,,
2016,12,1,22,0,2.92,,,
2016,12,1,23,0,3,,,
2016,12,2,0,0,2.87,,,
2016,12,2,1,0,2.94,,,
2016,12,2,2,0,2.65,,,
2016,12,2,3,0,2.08,,,
2016,12,2,4,0,1.31,,,
2016,12,2,5,0,0.54,,,
2016,12,2,6,0,0.2,,,
2016,12,2,7,0,0.16,,,
2016,12,2,8,0,0.01,,,
2016,12,2,9,0,0.34,,,
2016,12,2,10,0,1.27,,,
2016,12,2,11,0,2.23,,,
2016,12,2,12,0,2.96,,,
2016,12,2,13,0,4.31,,,
2016,12,2,14,0,5.36,,,
2016,12,2,15,0,5.89,,,
2016,12,2,16,0,5.89,,,
2016,12,2,17,0,5.63,,,
2016,12,2,18,0,4.76,,,
2016,12,2,19,0,3.81,,,
2016,12,2,20,0,2.86,,,
2016,12,2,21,0,2.05,,,
2016,12,2,22,0,1.6,,,
2016,12,2,23,0,1.3,,,
2016,12,3,0,0,0.92,,,
